裝設金融機構代號,裝設金融機構名稱,裝設地點,裝設縣市,裝設地址
004,臺灣銀行,"士林分行",台北市,"台北市士林區中山北路六段197號"
004,臺灣銀行,"大同公司",台北市,"台北市中山區中山北路三段22號"
004,臺灣銀行,"大安分行",台北市,"台北市大安區敦化南路二段69號1樓"
004,臺灣銀行,"中山分行",台北市,"台北市中山區中山北路一段150號"
004,臺灣銀行,"中央健康保險局",台北市,"台北市大安區信義路三段140號1樓"
004,臺灣銀行,"中租迪合股份有限公司",台北市,"台北市內湖區瑞光路362號"
004,臺灣銀行,"中國輸出入銀行",台北市,"台北市中正區南海路3號7樓"
004,臺灣銀行,"中崙分行",台北市,"台北市松山區南京東路五段184號"
004,臺灣銀行,"中華電信大安園區",台北市,"台北市大安區信義路4段88號"
004,臺灣銀行,"中華電信公司仁愛綜合大樓",台北市,"台北市中正區杭州南路一段26號"
004,臺灣銀行,"中華電信公司東區營業處",台北市,"台北市信義區松仁路130號"
004,臺灣銀行,"中華電信公司博愛局區",台北市,"台北市中正區博愛路168號"
004,臺灣銀行,"中華電信台北營運處東門服務中心",台北市,"台北市大安區愛國東路35-1號"
004,臺灣銀行,"中華電信長途通信大樓",台北市,"台北市大安區愛國東路35號"
004,臺灣銀行,"中華電信電信大樓",台北市,"台北市中正區信義路一段21號"
004,臺灣銀行,"仁愛分行",台北市,"台北市中正區仁愛路二段99號"
004,臺灣銀行,"內湖分行",台北市,"台北市內湖區內湖路一段396號"
004,臺灣銀行,"公庫部",台北市,"台北市中正區貴陽街一段120號"
004,臺灣銀行,"公館分行",台北市,"台北市中正區羅斯福路四段120號"
004,臺灣銀行,"天母分行",台北市,"台北市士林區中山北路七段18號"
004,臺灣銀行,"文山分行",台北市,"台北市文山區羅斯福路六段218號"
004,臺灣銀行,"木柵分行",台北市,"台北市文山區新光路一段145號"
004,臺灣銀行,"世貿中心展覽大樓",台北市,"台北市信義區信義路五段5號1樓"
004,臺灣銀行,"世貿分行",台北市,"台北市信義區基隆路一段333號3樓"
004,臺灣銀行,"北投分行",台北市,"台北市北投區中央南路一段152號"
004,臺灣銀行,"北區電信局數據通信",台北市,"台北市中正區信義路一段21號"
004,臺灣銀行,"北區電信局營業廳",台北市,"台北市中正區仁愛路一段42號"
004,臺灣銀行,"北區電信局警衛室",台北市,"台北市中正區仁愛路一段42號"
004,臺灣銀行,"北機分行",台北市,"台北市松山區敦化北路340-9號"
004,臺灣銀行,"台北地方法院",台北市,"台北市中正區博愛路131號1樓"
004,臺灣銀行,"台北地院(二)",台北市,"台北市中正區博愛路131號2樓"
004,臺灣銀行,"台北花卉產銷公司",台北市,"台北市內湖區新湖三路28號"
004,臺灣銀行,"台北科技大學",台北市,"台北市大安區忠孝東路三段1號"
004,臺灣銀行,"台電簡易型分行",台北市,"台北市中正區羅斯福路3段242號1樓"
004,臺灣銀行,"台銀綜合證券公司",台北市,"台北市中正區重慶南路一段58號3樓"
004,臺灣銀行,"民生分行",台北市,"台北市松山區復興北路167號"
004,臺灣銀行,"民權分行-無人銀行",台北市,"台北市大同區承德路二段239號"
004,臺灣銀行,"民權分行營業廳",台北市,"台北市大同區承德路二段239號"
004,臺灣銀行,"民權分行-營業廳",台北市,"台北市大同區承德路二段239號"
004,臺灣銀行,"立法院中興大樓",台北市,"台北市中正區濟南路一段3-1號"
004,臺灣銀行,"行內",台北市,"台北市大安區愛國東路31號"
004,臺灣銀行,"行內",台北市,"台北市松山區敦化北路340-9號"
004,臺灣銀行,"行內",台北市,"台北市信義區松仁路3號3樓"
004,臺灣銀行,"行內無人銀行",台北市,"台北市文山區羅斯福路6段218號"
004,臺灣銀行,"行內無人銀行",台北市,"台北市南港區三重路66號2樓-2"
004,臺灣銀行,"行政院農業委員會",台北市,"台北市中正區南海路37號"
004,臺灣銀行,"和平分行",台北市,"台北市大安區和平東路一段180號"
004,臺灣銀行,"延平分行",台北市,"台北市大同區南京西路406號"
004,臺灣銀行,"忠孝分行-無人銀行",台北市,"台北市大安區敦化南路一段202號"
004,臺灣銀行,"東門簡易型分行",台北市,"台北市中正區東門里15鄰紹興南街21號"
004,臺灣銀行,"東湖分行",台北市,"台北市內湖區成功路五段458號"
004,臺灣銀行,"松山分行",台北市,"台北市信義區忠孝東路四段560號"
004,臺灣銀行,"松山分行-無人銀行",台北市,"台北市信義區忠孝東路四段560號"
004,臺灣銀行,"松江分行",台北市,"台北市中山區松江路115號"
004,臺灣銀行,"武昌分行",台北市,"台北市中正區武昌街一段49號"
004,臺灣銀行,"武昌分行後棟一樓",台北市,"台北市中正區武昌街一段49號"
004,臺灣銀行,"法務部",台北市,"台北市中正區重慶南路一段130號"
004,臺灣銀行,"金山分行",台北市,"台北市大安區金山南路二段189號"
004,臺灣銀行,"信安分行",台北市,"台北市大安區信義路三段132號"
004,臺灣銀行,"信義分行",台北市,"台北市大安區信義路二段88號"
004,臺灣銀行,"信義分行",台北市,"台北市大安區信義路二段88號2樓"
004,臺灣銀行,"南門分行",台北市,"台北市中正區南昌路一段120號"
004,臺灣銀行,"南港分行-無人銀行",台北市,"台北市南港區南港路二段95號"
004,臺灣銀行,"南港軟體園區分行",台北市,"台北市南港區三重路66號2樓之2"
004,臺灣銀行,"城中分行",台北市,"台北市中正區青島東路47號"
004,臺灣銀行,"時代國際飯店",台北市,"台北市信義區忠孝東路5段10號"
004,臺灣銀行,"動植物防檢局",台北市,"台北市中正區和平西路2段100號"
004,臺灣銀行,"國貿大樓",台北市,"台北市信義區基隆路一段333號1樓"
004,臺灣銀行,"國際電信局金山大樓",台北市,"台北市大安區金山南路二段52號"
004,臺灣銀行,"國際電信局通信大樓",台北市,"台北市大安區愛國東路31號"
004,臺灣銀行,"國際線出境櫃台",台北市,"台北市松山區敦化北路340-9號(國際線出境櫃台)"
004,臺灣銀行,"採購部無人銀行",台北市,"台北市中正區武昌街一段45號"
004,臺灣銀行,"敦化分行",台北市,"台北市松山區敦化北路205號"
004,臺灣銀行,"圓山分行",台北市,"台北市中山區林森北路577號"
004,臺灣銀行,"新湖分行",台北市,"台北市內湖區行愛路188號"
004,臺灣銀行,"萬華分行",台北市,"台北市萬華區貴陽街二段26號"
004,臺灣銀行,"經建會",台北市,"台北市中正區寶慶路3號"
004,臺灣銀行,"群賢分行",台北市,"台北市中正區中山南路1號"
004,臺灣銀行,"精英電腦股份有限公司",台北市,"台北市內湖區堤頂大道二段239號"
004,臺灣銀行,"臺北分行",台北市,"台北市中山區松江路80號"
004,臺灣銀行,"臺銀行員訓練所",台北市,"台北市士林區和平路10號"
004,臺灣銀行,"劍潭分行",台北市,"台北市士林區承德路四段174號"
004,臺灣銀行,"劍潭分行行內",台北市,"台北市士林區承德路4段174號"
004,臺灣銀行,"標準檢驗局",台北市,"台北市中正區濟南路一段4號"
004,臺灣銀行,"靜心小學",台北市,"台北市文山區興隆路2段46號"
004,臺灣銀行,"館前分行",台北市,"台北市中正區館前路49號"
